,Web ID,Region,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
5438,30685,Central America,2017-01-12,2017,Jan,1,0,1,5,1,1,1,Accident,"Between Progeso and Escobedo municipalities, Coahuila, Mexico.",El Universal,"27.193486400000, -104.145363100000",Central America to US,"http://eluni.mx/2jgjCPz, http://bit.ly/2jFjGrb",Central America,3
5439,30684,Mediterranean,2017-01-12,2017,Jan,14,0,14,1,1,1,1,Hypothermia,"Bodies recovered on the shores of Zuwara, Libya",IOM Libya,"33.010693000000, 12.047669600000",Central Mediterranean,Unknown,Uncategorized,4
5440,30683,US-Mexico Border,2017-01-11,2017,Jan,1,0,1,1,1,1,1,Unknown,"Midway Road, Rio Grande City, Starr County, Texas, USA",Facebook Desaparecidos y sin reclamar en la frontera,"26.510162900000, -99.026246300000",Central America to US,http://bit.ly/2jomRE8,Northern America,4
5441,30682,US-Mexico Border,2017-01-11,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5442,30681,North Africa,2017-01-10,2017,Jan,1,0,1,1,1,1,1,Starvation,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.692227100000, 33.976249200000",Unknown,Unknown,Northern Africa,2
5443,30680,North Africa,2017-01-10,2017,Jan,1,0,1,1,1,1,1,Starvation,"In the Sahara desert in a mountain cave, between Atbara, Sudan and Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.144929800000, 30.369251400000",Unknown,Unknown,Northern Africa,2
5444,30679,Mediterranean,2017-01-10,2017,Jan,1,0,1,1,1,1,1,Drowning,"Body recovered from shores near Sabratha, Libya",IOM Libya,"32.791284000000, 12.415264900000",Central Mediterranean,Unknown,Uncategorized,4
5445,30678,US-Mexico Border,2017-01-10,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5446,30677,US-Mexico Border,2017-01-09,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5447,30676,US-Mexico Border,2017-01-09,2017,Jan,1,0,1,1,1,1,1,Unknown,"Miller Ranch, Brooks County, Texas, USA","Brooks County Sheriff's Office, South Texas Human Rights Center","27.139794146979, -98.307815233984",Central America to US,Unknown,Northern America,5
5448,30675,US-Mexico Border,2017-01-08,2017,Jan,1,0,1,1,1,1,1,Unknown,"Adan Gonzalez Ranch, Brooks County, Texas, USA","Brooks County Sheriff's Office, South Texas Human Rights Center","27.022782200000, -98.541238400000",Central America to US,Unknown,Northern America,5
5449,30670,US-Mexico Border,2017-01-07,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5450,30674,North Africa,2017-01-07,2017,Jan,2,0,2,1,1,1,1,Accident,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.692227100000, 33.976249200000",Unknown,Unknown,Northern Africa,2
5451,30673,North Africa,2017-01-07,2017,Jan,3,0,3,1,1,1,1,Accident,"In the Sahara desert, around Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.715939500000, 33.835907700000",Unknown,Unknown,Northern Africa,2
5452,30672,US-Mexico Border,2017-01-07,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5453,30671,US-Mexico Border,2017-01-07,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5454,30669,Europe,2017-01-06,2017,Jan,2,0,2,1,1,1,1,Hypothermia,"Mountain forest, Strandzha Region, Bulgaria",AFP,"42.012500000000, 27.606422300000",Unknown,http://bit.ly/2iNkYDk,Eastern Europe,1
5455,30668,US-Mexico Border,2017-01-05,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5456,30664,Mediterranean,2017-01-04,2017,Jan,5,0,5,1,1,1,1,Drowning,"Bodies recovered 70 km east of Tripoli, Libya","IOM Libya, AFP","32.900612100000, 13.046172600000",Central Mediterranean,http://bit.ly/2iEdFh4,Uncategorized,4
5457,30663,North Africa,2017-01-04,2017,Jan,3,0,3,1,1,1,1,Starvation,"Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"29.983483500000, 19.149947200000",Unknown,Unknown,Northern Africa,2
5458,30667,Middle East,2017-01-04,2017,Jan,2,0,2,1,1,1,1,Hypothermia,"Mountains near Chebaa, Lebanon",AP,"33.355558800000, 35.738680800000",Unknown,"https://tgam.ca/1xEtXr0, http://ind.pn/2j3Hcza",Western Asia,3
5459,30666,US-Mexico Border,2017-01-04,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5460,30665,Mediterranean,2017-01-04,2017,Jan,3,0,3,45,1,1,1,Drowning,"Off the coast of Nador, Morocco",Xinhua,"35.176142300000, -2.924073300000",Western Mediterranean,"http://on.china.cn/2if21q3, http://bit.ly/2iHkz51, http://bit.ly/2j4IdKn",Uncategorized,3
5461,30662,US-Mexico Border,2017-01-03,2017,Jan,1,0,1,1,1,1,1,Unknown,"Rio Grande, Hidalgo, Texas, USA",Facebook Desaparecidos y sin reclamar en la frontera,"26.085872300000, -98.255767600000",Central America to US,http://bit.ly/2jCHq2f,Northern America,4
5462,30661,Europe,2017-01-03,2017,Jan,1,0,1,1,1,1,1,Hypothermia,"Near Didimoteicho, Greece","IOM Greece, AP","41.345409800000, 26.480810900000",Unknown,http://bit.ly/2hQUT75,Southern Europe,4
5463,30660,US-Mexico Border,2017-01-03,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5464,30657,US-Mexico Border,2017-01-02,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"32.141604800000, -113.042624600000",Central America to US,Unknown,Northern America,5
5465,30659,Mediterranean,2017-01-02,2017,Jan,1,0,1,1,1,1,1,Drowning,"Body recovered from shores near Tajoura, Libya",IOM Libya,"32.880838500000, 13.344353800000",Central Mediterranean,Unknown,Uncategorized,4
5466,30658,Europe,2017-01-02,2017,Jan,1,0,1,1,1,1,1,Hypothermia,"Near Ravadinovo, Bulgaria",Novinite,"42.383331400000, 27.661176200000",Unknown,"http://bit.ly/2j4NeCg, http://bit.ly/2hOkWdH",Eastern Europe,3
5467,30656,Mediterranean,2017-01-01,2017,Jan,2,0,2,1,1,1,1,Accident,Border fence between Morocco and Ceuta,Diario de LeÃ³n,"35.908666342858, -5.378892755481",Western Mediterranean,"http://bit.ly/2j7vMJz, http://bit.ly/2j1augp, http://bit.ly/2iEC1Vq",Uncategorized,3
5468,30705,Caribbean,2017-01-01,2017,Jan,1,0,1,1,1,1,1,Unknown,"Mukai area, Dajabon, Dominican Republic",Notidiarias,"19.548849300000, -71.721089000000","From Haiti to Dajabon, Dominican Republic",http://bit.ly/2lZaCzL,Caribbean,1
5469,44540,North Africa,2016-12-31,2016,Dec,2,0,2,1,1,1,1,Accident,"Unspecified location, Libya",MHub,"27.549510052990, 13.317198187500",Unknown,Unknown,Northern Africa,2
5470,44546,North Africa,2016-12-31,2016,Dec,3,0,3,1,1,1,1,Unknown,"Unspecified location, Libya",MHub,"30.716293990300, 14.174131781250",Unknown,Unknown,Northern Africa,2
5471,44538,North Africa,2016-12-31,2016,Dec,2,0,2,1,1,1,1,Murdered,"Tripoli, Libya",MHub,"32.887209400000, 13.191338300000",Unknown,Unknown,Northern Africa,2
